element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref
Fe,1,251.76609,0.00002,1550,1.58e-01,B,7985.785,47693.239,,T5720,L11631
Mn,2,251.767,0.002,20,1.0e-03,D,27588.53,67295.446,,T7259,L562
Fe,2,251.79705,0.00006,4000,4.2e-01,D+,50187.822,89890.396,,T6892c83,L18349c139
O,2,251.7974,0.0010,12,7.72e-02,D,211522.117,251224.79,,T5723LS,L10621
Fe,1,251.81015,0.00002,5100,1.93e+00,B,704.007,40404.518,,T5720,L11631
W,2,251.81422,0.00010,53,1.79e-01,B,10592.485,50292.354,,T7162,L11762
Co,2,251.81733,0.00009,1300bl(Co II),4.1e-02,D,25317.517,65016.915,,T6999,L9429c118
Co,2,251.81797,0.00004,920bl(Co II),2.3e-01,D,52229.725,91928.989,,T6999,L9429c118
Mn,2,251.818,0.002,100*,2.3e+00,C,52383.78,92083.09,,c88,L562
Ar,3,251.826,0.004,2,3.4e-02,E,186658.19,226357.0086,,"T1619CA,LS",L7491
Co,2,251.83671,0.00010,150,3.7e-02,D,72654.127,112350.469,,T6999,L9429c118
Fe,2,251.85346,0.00002,2100,5.4e-01,C+,70314.624,110008.310,,T6892c83,L18349c139
Fe,2,251.90043,0.00020,400,6.3e-02,D+,66522.310,106208.574,,T6892c83,L18349c139
Ti,1,251.9025,0.0003,10,5.9e-02,C,0.000,39685.964,,T3499n,L10989
Fe,2,251.904690,0.000012,100000,2.10e+00,C+,27314.9183,67000.530,,T6892c83,L18349c139
Fe,2,251.90731,0.00007,7000,4.3e-02,D+,22637.1950,62322.445,,T6892c83,L18349c145
Si,1,251.9202,0.0010,350,5.49e-01,B,77.115,39760.285,,T5814,L3521
B,2,251.9257,0.0010,53*,1.5e-01,C,150649.68,190331.88,,"u27,LS",L12120
B,2,251.9257,0.0010,53*,1.6e-01,C,150649.68,190331.88,,"u27,LS",L12120
B,2,251.9257,0.0010,53*,1.83e-01,C,150649.68,190331.88,,"u27,LS",L12120
Mn,2,251.9312,0.0006,30,2.4e+00,D,52379.41,92060.89?,,c88,L562
Fe,2,251.94077,0.00004,7000,1.3e-01,D+,26932.7348,66612.659,,T6892c83,L18349c139
Fe,2,251.96033,0.00004,7000,2.2e-01,D+,33466.4943,73143.346,,T6892c83,L18349c139
V,1,251.96233,0.00009,920000,4.3e-01,C+,323.432,39999.966,,T9399,L15916
Fe,1,251.96292,0.00002,1700,1.34e-01,C+,8154.714,47831.153,,T5720,L11631
V,4,251.9803,0.0010,20,1.1e+00,,217108.0,256781.8,,T2757,L147
Ti,2,251.98049,0.00005,12,4.61e-03,C',907.9672,40581.6301,,T7385,u37
Co,2,251.98227,0.00003,47000,1.09e+00,B+,10708.331,50381.724,,T6854,L9429c118
Fe,2,251.98485,0.00008,1200,2.2e-01,D+,64834.069,104507.058,,T6892c83,L18349c139
Mn,2,252.0102,0.0006,80,1.1e+00,D,49427.371,89096.54,,c88,L562
Fe,3,252.0162,0.0013,1100,2.1e-02,D,83161.80,122829.68,,T6105,L3495
N,2,252.022,0.010,110,1.26e-01,C+,170572.61,210239.83,,T5520LS,L3513
Mn,2,252.0252,0.0006,60,2.1e+00,D,52373.269,92039.94,,c88,L562
Fe,2,252.02624,0.00003,11000,2.6e-01,D+,38858.9696,78525.442,,T6892c83,L18349c139
Co,2,252.02732,0.00011,120,6.e-02,D,70857.053,110523.375,,T6999,L9429c118
Fe,2,252.03982,0.00016,600,5.0e-02,D+,65556.271,105220.610,,T6892c83,L18349c139
Mn,2,252.0518,0.0006,100,1.0e+00,D,48333.08,87995.51,,c88,L562
Fe,2,252.05375,0.00011,2000,4.9e-02,D+,36252.931,75915.080,,T6892c83,L18349c139
Ti,1,252.0542,0.0003,15+,3.8e-01,C,0.000,39662.081,,T3499n,L10989
Mn,2,252.062,0.002,50*,9.e-01,D,49465.15,89126.09,,c88,L562
Fe,2,252.06733,0.00003,9000,7.4e-02,D+,26352.7671,66012.775,,T6892c83,L18349c139
Fe,2,252.0766,0.0003,1600,1.7e-02,D,23031.2829,62689.874,,T6892c83,L18349c139
N,2,252.079,0.010,160,1.70e-01,C+,170607.89,210266.04,,T5520LS,L3513
Co,2,252.08242,0.00010,830,8.e-02,D,31199.412,70857.053,,T6999,L9429c118
Cs,3,252.0864,0.0003,3300,6.88e-01,,173526.505,213183.517,,T8611,L14869
Fe,2,252.109143,0.000012,70000,2.05e+00,C+,27620.4033,67273.833,,T6892c83,L18349c139
V,3,252.116,0.010,250,1.1e+00,D,49805.29,89457.67,,T3396n,L4746
Fe,2,252.12163,0.00002,11000,2.21e+00,C+,50075.921,89727.383,,T6892c83,L18349c139
Fe,2,252.13318,0.00011,700,8.e-02,D+,64831.951,104481.606,,T6892c83,L18349c139
Co,1,252.136,0.010,4300,3.0e+00,D,0.00,39649.16,,T4223,L3475
In,1,252.1371,0.0010,100,5.33e-02,C+,2212.599,41861.96,,T7227,L3547
Fe,2,252.14864,0.00005,4000,2.67e+00,B+,58631.623,98278.852,,T6892c83,L18349c139
V,3,252.155,0.010,250,3.5e+00,D,63315.05,102961.28,,T3396n,L4746
Hg,2,252.1678,0.0002,300,1.6e-02,,106215.059,145859.294,,T7226,L11760
Fe,2,252.181511,0.000012,50000,2.36e+00,B+,33501.2957,73143.346,,T6892c83,L18349c139
Fe,1,252.19188,0.00002,380,2.42e-02,C+,7376.764,47017.188,,T5720,L11631
